Column, Variable, Description, Units, Notes,,,,,,,,,,,,,,,,,
1, Year,,,,,,,,,,,,,,,,,,,,
2, Month,,,,,,,,,,,,,,,,,,,,
3, Date,,,,,,,,,,,,,,,,,,,,
4, Hour,,,,,,,,,,,,,,,,,,,,
5, PWC, , , (on hour GMT),,,,,,,,,,,,,,,,,
6, CC, Cloud amount, oktas, (on hour GMT),,,,,,,,,,,,,,,,,
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT),,,,,,,,,,,,,,,,,
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT),,,,,,,,,,,,,,,,,
9, RH, Relative Humidity, % (on hour GMT),,,,,,,,,,,,,,,,,,
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT),,,,,,,,,,,,,,,,,
11, WD, Wind Direction, degrees, (average over previous hour GMT),,,,,,,,,,,,,,,,,
12, WS, Wind Speed, knots, (average over previous hour GMT),,,,,,,,,,,,,,,,,
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT),,,,,,,,,,,,,,,,,
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT),,,,,,,,,,,,,,,,,
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT),,,,,,,,,,,,,,,,,
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT),,,,,,,,,,,,,,,,,
17-22, Missing Data Codes, see accompanying documentation for description,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Model parameters,,,,,,,,,,,,,,,,,,,,,
2003,9,12,12,,7,17.2,11.9,48.8,1030.7,10,6,546.7,267.8,,,0,0,0,0,0,0
2003,9,12,13,,7,18.1,12.2,45,1030.8,40,6,545,332.8,,,0,0,0,0,0,0
2003,9,12,14,,7,19,12.2,39.2,1031.3,360,5,602.2,264.4,,,0,0,0,0,0,0
2003,9,12,15,,7,19.3,11.9,35,1031.2,50,5,566.1,187.8,,,0,0,0,0,0,0
2003,9,12,16,,7,19.7,12.3,35.8,1030.9,20,3,411.9,206.7,,,0,0,0,0,0,0
2003,9,12,17,,7,19.8,12.3,35.2,1030.4,60,3,291.4,193.3,,,0,0,0,0,0,0
2003,9,12,18,,7,19.8,12.9,39.8,1030.7,70,1,193.1,109.4,,,0,0,0,0,0,0
2003,9,12,19,,7,18.7,11.9,38.7,1031.1,0,0,59.4,52.2,,,0,0,0,0,0,0
2003,9,12,20,,7,17.2,11.8,47.9,1031.6,30,4,3.6,3.6,,,0,0,0,0,0,0
2003,9,12,21,,7,14.9,10.8,56.5,1031.8,60,3,0,0,,,0,0,0,0,0,0
2003,9,12,22,,0,13.4,10.2,63.8,1031.8,0,0,0,0,,,0,0,0,0,0,0
2003,9,12,23,,0,11.3,9.3,75.2,1031.7,0,0,0,0,,,0,0,0,0,0,0
2003,9,12,24,,0,12.2,9.6,69.1,1031.4,120,2,0,0,,,0,0,0,0,0,0
2003,9,13,1,,0,13.2,10.9,73.4,1031.3,150,3,0,0,,,0,0,0,0,0,0
2003,9,13,2,,0,12.5,11.1,83.2,1032,0,0,0,0,,,0,0,0,0,0,0
2003,9,13,3,,0,10.5,9.3,84.5,1031.8,110,6,0,0,,,0,0,0,0,0,0
2003,9,13,4,,0,9.3,8.7,91.8,1031.6,0,0,0,0,,,0,0,0,0,0,0
2003,9,13,5,,0,8.5,8,93,1031.6,0,0,0,0,,,0,0,0,0,0,0
2003,9,13,6,,0,7.7,7.3,94.2,1031.9,0,0,0,0,,,0,0,0,0,0,0
2003,9,13,7,,7,7.9,7.4,92.8,1032,0,0,7.2,6.4,,,0,0,0,0,0,0
2003,9,13,8,,7,9.5,8.8,90.5,1032.2,0,0,101.9,57.5,,,0,0,0,0,0,0
2003,9,13,9,,7,12.8,11.5,84.5,1032.3,190,2,232.2,86.7,,,0,0,0,0,0,0
2003,9,13,10,,7,17.7,13.9,63,1032.3,160,5,378.6,135.8,,,0,0,0,0,0,0
2003,9,13,11,,7,18.9,14.2,56.4,1032,150,7,408.1,188.1,,,0,0,0,0,0,0
2003,9,13,12,,7,20.3,14.1,46.1,1031.6,170,7,635.8,114.7,,,0,0,0,0,0,0
2003,9,13,13,,7,21.7,14.9,43.7,1031.2,190,5,669.2,109.2,,,0,0,0,0,0,0
2003,9,13,14,,7,23,15.5,40.7,1030.9,160,6,643.6,131.9,,,0,0,0,0,0,0
2003,9,13,15,,7,23.7,14.9,33.1,1030.8,180,5,610.6,108.9,,,0,0,0,0,0,0
2003,9,13,16,,5,23.7,14.6,31.1,1030.5,170,7,516.7,91.4,,,0,0,0,0,0,0
2003,9,13,17,,5,24.1,15,31.9,1030.3,160,7,394.7,67.8,,,0,0,0,0,0,0
2003,9,13,18,,4,23.2,15.1,36.9,1030,160,5,225,59.2,,,0,0,0,0,0,0
2003,9,13,19,,4,21.2,14.3,42.2,1030.2,140,6,71.9,32.8,,,0,0,0,0,0,0
2003,9,13,20,,4,19.5,14.3,53,1030.6,180,5,4.7,3.9,,,0,0,0,0,0,0
2003,9,13,21,,1,17.8,13.5,58.6,1031.2,170,9,0,0,,,0,0,0,0,0,0
2003,9,13,22,,3,15.9,12.6,65.7,1031.3,170,3,0,0,,,0,0,0,0,0,0
2003,9,13,23,,0,14.1,11.8,74.3,1031.7,0,0,0,0,,,0,0,0,0,0,0
2003,9,13,24,,0,13.8,11.7,76.2,1031.7,0,0,0,0,,,0,0,0,0,0,0
2003,9,14,1,,0,11.7,10.8,88.9,1031.5,0,0,0,0,,,0,0,0,0,0,0
2003,9,14,2,,0,10.4,9.5,88.3,1031.6,0,0,0,0,,,0,0,0,0,0,0
2003,9,14,3,,0,10,9.2,89.4,1031.7,0,0,0,0,,,0,0,0,0,0,0
2003,9,14,4,,0,9.4,8.9,93.2,1031.5,0,0,0,0,,,0,0,0,0,0,0
2003,9,14,5,,0,8.3,7.7,91.5,1031.3,0,0,0,0,,,0,0,0,0,0,0
2003,9,14,6,,0,8.1,7.7,94.3,1031.3,0,0,0,0,,,0,0,0,0,0,0
2003,9,14,7,,5,7.9,7.4,92.8,1031.3,0,0,6.4,4.7,,,0,0,0,0,0,0
2003,9,14,8,,6,10.9,10.2,91,1031.6,0,0,84.2,56.4,,,0,0,0,0,0,0
2003,9,14,9,,5,16.2,13.8,74.9,1031.7,0,0,226.4,74.7,,,0,0,0,0,0,0
2003,9,14,10,,4,18.7,14.4,59.7,1031.6,160,4,409.2,86.9,,,0,0,0,0,0,0
2003,9,14,11,,3,20.3,15,53.3,1031.3,150,4,538.3,99.4,,,0,0,0,0,0,0
2003,9,14,12,,3,22.7,15,38.8,1030.9,180,6,604.2,92.2,,,0,0,0,0,0,0
2003,9,14,13,,3,24.3,14.9,30.3,1030.3,140,4,684.7,90.8,,,0,0,0,0,0,0
2003,9,14,14,,3,25.2,15,27,1029.7,160,5,685,93.9,,,0,0,0,0,0,0
2003,9,14,15,,3,25.2,14.9,26.4,1029.2,170,3,610.3,108.6,,,0,0,0,0,0,0
2003,9,14,16,,2,26.1,15.5,26.3,1028.6,150,4,526.4,73.6,,,0,0,0,0,0,0
2003,9,14,17,,2,25.5,15.5,28.8,1028.1,170,6,398.3,65,,,0,0,0,0,0,0
2003,9,14,18,,1,24.7,15.1,29.9,1027.6,170,5,230,46.4,,,0,0,0,0,0,0
2003,9,14,19,,2,22,15.3,45,1027.4,200,5,78.1,26.9,,,0,0,0,0,0,0
2003,9,14,20,,0,19.6,13.9,49.1,1027.8,200,3,2.2,1.9,,,0,0,0,0,0,0
2003,9,14,21,,0,17.7,13,54.9,1028.3,190,3,0,0,,,0,0,0,0,0,0
2003,9,14,22,,0,16.8,12.5,57.3,1028.7,190,1,0,0,,,0,0,0,0,0,0
2003,9,14,23,,0,14.1,11.2,67.9,1028.7,0,0,0,0,,,0,0,0,0,0,0
2003,9,14,24,,0,12.6,10.4,74.1,1028.5,0,0,0,0,,,0,0,0,0,0,0
2003,9,15,1,,0,10.6,9.4,84.5,1028.4,0,0,0,0,,,0,0,0,0,0,0
2003,9,15,2,,0,10.7,9.4,83.4,1028,0,0,0,0,,,0,0,0,0,0,0
2003,9,15,3,,0,10.4,9.3,85.7,1027.8,0,0,0,0,,,0,0,0,0,0,0
2003,9,15,4,,0,9.9,9,88,1027.6,0,0,0,0,,,0,0,0,0,0,0
2003,9,15,5,,0,9.3,8.5,89.1,1027.3,0,0,0,0,,,0,0,0,0,0,0
2003,9,15,6,,5,9.1,8.4,90.5,1027.1,0,0,0,0,,,0,0,0,0,0,0
2003,9,15,7,,6,8.8,8,88.9,1027.2,0,0,6.1,4.7,,,0,0,0,0,0,0
2003,9,15,8,,6,10,8.9,85.6,1027.1,0,0,81.4,43.1,,,0,0,0,0,0,0
2003,9,15,9,,7,13,11,76.7,1027.1,0,0,191.4,81.1,,,0,0,0,0,0,0
2003,9,15,10,,7,18.2,14,60,1027.2,220,2,323.9,126.9,,,0,0,0,0,0,0
2003,9,15,11,,7,20.7,14.7,48.4,1026.9,170,2,496.7,176.9,,,0,0,0,0,0,0
2003,9,15,12,,7,22.3,14.8,39.7,1026.5,190,2,510.6,234.4,,,0,0,0,0,0,0
2003,9,15,13,,7,22.9,15,37.9,1026.1,200,3,599.4,221.1,,,0,0,0,0,0,0
2003,9,15,14,,7,24.1,15.8,37.2,1025.5,170,4,535.3,244.7,,,0,0,0,0,0,0
2003,9,15,15,,7,25.3,16.4,35.2,1025.1,180,5,517.8,217.5,,,0,0,0,0,0,0
2003,9,15,16,,7,25.9,16.4,32.6,1024.5,240,5,472.2,150,,,0,0,0,0,0,0
2003,9,15,17,,7,25.6,16.3,33.3,1024.3,230,6,349.7,115.6,,,0,0,0,0,0,0
2003,9,15,18,,6,24.3,16.2,38.8,1024,190,7,148.1,91.4,,,0,0,0,0,0,0
2003,9,15,19,,4,23.1,15.8,42.4,1024.1,220,5,78.6,62.5,,,0,0,0,0,0,0
2003,9,15,20,,3,20.9,15,49.5,1024.4,210,5,3.1,2.8,,,0,0,0,0,0,0
2003,9,15,21,,3,19.5,14.6,55.6,1025,220,4,0,0,,,0,0,0,0,0,0
2003,9,15,22,,3,17.7,13.9,63.1,1025.2,0,0,0,0,,,0,0,0,0,0,0
2003,9,15,23,,5,15,12.8,76.1,1025,0,0,0,0,,,0,0,0,0,0,0
2003,9,15,24,,3,13.2,11.9,84.8,1025,0,0,0,0,,,0,0,0,0,0,0
2003,9,16,1,,2,12.2,11.1,86.6,1024.9,0,0,0,0,,,0,0,0,0,0,0
2003,9,16,2,,0,11,9.9,86.1,1024.8,0,0,0,0,,,0,0,0,0,0,0
2003,9,16,3,,0,10.1,9.5,92.1,1024.9,0,0,0,0,,,0,0,0,0,0,0
2003,9,16,4,,0,10,9.4,92.1,1024.8,0,0,0,0,,,0,0,0,0,0,0
2003,9,16,5,,0,9.6,9.1,93.2,1024.8,0,0,0,0,,,0,0,0,0,0,0
2003,9,16,6,,3,9,8.6,94.5,1024.6,0,0,0,0,,,0,0,0,0,0,0
2003,9,16,7,,7,9.3,8.8,93.2,1024.8,0,0,4.2,3.3,,,0,0,0,0,0,0
2003,9,16,8,,7,10.1,9.3,89.4,1025.1,0,0,67.2,46.9,,,0,0,0,0,0,0
2003,9,16,9,,7,13.3,11.9,83.7,1025.2,250,2,206.1,90.8,,,0,0,0,0,0,0
2003,9,16,10,,7,17.4,14.5,71.1,1025.5,210,2,323.6,126.1,,,0,0,0,0,0,0
2003,9,16,11,,7,20.9,14.9,48.7,1025.1,200,2,461.1,116.1,,,0,0,0,0,0,0
2003,9,16,12,,7,22.9,15.6,42.1,1025,180,3,589.4,126.1,,,0,0,0,0,0,0
2003,9,16,13,,7,24.3,16,37.5,1024.9,210,3,651.4,101.4,,,0,0,0,0,0,0
2003,9,16,14,,6,25.5,16.4,34.3,1024.7,210,2,644.7,120,,,0,0,0,0,0,0
2003,9,16,15,,6,26.3,15.9,27.9,1024.1,230,1,596.1,88.1,,,0,0,0,0,0,0
2003,9,16,16,,5,25.7,16.2,32.2,1023.6,250,2,504.7,61.1,,,0,0,0,0,0,0
2003,9,16,17,,5,26.4,16.2,29.3,1023.3,200,3,353.1,69.2,,,0,0,0,0,0,0
2003,9,16,18,,6,26.3,15.9,28,1023,230,2,212.2,77.8,,,0,0,0,0,0,0
2003,9,16,19,,5,24.5,15.7,34.6,1023,0,0,76.7,37.2,,,0,0,0,0,0,0
2003,9,16,20,,4,21.1,15.2,49.8,1023.4,200,4,3.3,3.1,,,0,0,0,0,0,0
2003,9,16,21,,3,19.9,15.1,57,1023.8,210,5,0,0,,,0,0,0,0,0,0
2003,9,16,22,,0,18.3,14.6,64.6,1023.9,0,0,0,0,,,0,0,0,0,0,0
2003,9,16,23,,0,17.5,13.9,64.7,1023.9,220,2,0,0,,,0,0,0,0,0,0
2003,9,16,24,,0,14.3,12.5,79.9,1023.6,0,0,0,0,,,0,0,0,0,0,0
2003,9,17,1,,0,12.2,11.3,89,1023.7,0,0,0,0,,,0,0,0,0,0,0
2003,9,17,2,,0,11,10.1,88.6,1023.3,0,0,0,0,,,0,0,0,0,0,0
2003,9,17,3,,0,10,9.5,93.4,1023,0,0,0,0,,,0,0,0,0,0,0
2003,9,17,4,,0,9.1,8.6,93.2,1022.8,0,0,0,0,,,0,0,0,0,0,0
2003,9,17,5,,0,8.6,8.2,94.4,1022.5,0,0,0,0,,,0,0,0,0,0,0
2003,9,17,6,,1,8.8,8.2,91.7,1022.3,0,0,0,0,,,0,0,0,0,0,0
2003,9,17,7,,7,8.7,8.2,93.1,1022.2,0,0,2.2,1.4,,,0,0,0,0,0,0
2003,9,17,8,,6,9.7,9,90.6,1022.3,0,0,85.6,44.4,,,0,0,0,0,0,0
2003,9,17,9,,6,14.2,12.6,82,1022,230,2,219.2,84.4,,,0,0,0,0,0,0
2003,9,17,10,,6,18.3,14.7,65.5,1022.1,200,2,373.9,103.9,,,0,0,0,0,0,0
2003,9,17,11,,4,22.6,16,46.7,1021.5,180,6,492.5,113.6,,,0,0,0,0,0,0
2003,9,17,12,,4,24,16.4,41.7,1021,190,7,585.3,105.6,,,0,0,0,0,0,0
2003,9,17,13,,6,25.5,16.6,35.7,1020.5,220,9,619.7,126.1,,,0,0,0,0,0,0
2003,9,17,14,,6,27.3,17.7,34.3,1019.7,210,7,597.8,134.4,,,0,0,0,0,0,0
2003,9,17,15,,4,27.4,17.3,31.6,1018.9,230,9,583.9,125.3,,,0,0,0,0,0,0
2003,9,17,16,,2,27.5,16.8,28.4,1018.1,210,10,491.9,98.3,,,0,0,0,0,0,0
2003,9,17,17,,2,26.9,16.4,28.5,1017.6,230,11,361.7,95,,,0,0,0,0,0,0
2003,9,17,18,,1,25.9,16,30.3,1017.4,220,10,213.1,75.6,,,0,0,0,0,0,0
2003,9,17,19,,2,23.8,15.1,34.2,1017.6,210,7,67.2,31.1,,,0,0,0,0,0,0
2003,9,17,20,,2,21.8,14.1,37.6,1017.8,210,7,1.1,0.8,,,0,0,0,0,0,0
2003,9,17,21,,2,19.8,15.4,60.3,1017.9,190,4,0,0,,,0,0,0,0,0,0
2003,9,17,22,,0,18.4,15,67.5,1018,190,1,0,0,,,0,0,0,0,0,0
2003,9,17,23,,0,17,13.7,67.1,1018,210,5,0,0,,,0,0,0,0,0,0
2003,9,17,24,,0,15.8,13.5,75.8,1018,0,0,0,0,,,0,0,0,0,0,0
2003,9,18,1,,0,13.6,12.2,84,1017.7,0,0,0,0,,,0,0,0,0,0,0
2003,9,18,2,,0,12.1,11.1,87.9,1017.3,0,0,0,0,,,0,0,0,0,0,0
2003,9,18,3,,0,10.9,10.3,92.3,1017,0,0,0,0,,,0,0,0,0,0,0
2003,9,18,4,,0,10.2,9.8,94.8,1016.4,0,0,0,0,,,0,0,0,0,0,0
2003,9,18,5,,0,9.9,9.3,92,1016.3,0,0,0,0,,,0,0,0,0,0,0
2003,9,18,6,,0,9.5,9.2,96,1016.4,240,2,0,0,,,0,0,0,0,0,0
2003,9,18,7,,1,11.1,10.4,91.1,1016.7,230,2,2.5,2.2,,,0,0,0,0,0,0
2003,9,18,8,,8,12.6,12.1,94,1017.4,250,7,58.9,40,,,0,0,0,0,0,0
2003,9,18,9,,6,14.4,13.4,88.8,1017.4,210,3,64.7,61.9,,,0,0,0,0,0,0
2003,9,18,10,,5,17.1,14.6,74.8,1017.5,210,7,258.1,200.6,,,0,0,0,0,0,0
2003,9,18,11,,4,19,14.6,59.3,1017.1,230,10,460.6,208.3,,,0,0,0,0,0,0
2003,9,18,12,,3,19.6,14.6,55,1016.6,240,13,603.3,232.2,,,0,0,0,0,0,0
2003,9,18,13,,5,21.4,15.6,51.1,1016.1,220,13,578.3,220.8,,,0,0,0,0,0,0
2003,9,18,14,,7,20,15.4,58.9,1015.8,240,11,485.3,278.6,,,0,0,0,0,0,0
2003,9,18,15,,7,19.9,15.3,58.8,1015.5,240,10,268.3,252.8,,,0,0,0,0,0,0
2003,9,18,16,,7,19.4,15.2,61.6,1015.2,230,9,123.6,122.8,,,0,0,0,0,0,0
2003,9,18,17,,7,19,15.2,64.6,1014.9,230,10,68.6,68.3,,,0,0,0,0,0,0
2003,9,18,18,,7,18.6,15.1,66.8,1014.9,230,12,44.4,44.2,,,0,0,0,0,0,0
2003,9,18,19,,7,18.5,14.1,58.8,1015.1,220,10,17.2,17.2,,,0,0,0,0,0,0
2003,9,18,20,,7,18.3,14.3,62.1,1015.3,230,7,0.8,0.8,,,0,0,0,0,0,0
2003,9,18,21,,7,17.6,13.3,58.6,1015.9,240,11,0,0,,,0,0,0,0,0,0
2003,9,18,22,,8,17.4,13.3,60.1,1016,240,6,0,0,,,0,0,0,0,0,0
2003,9,18,23,,6,16,12.9,67.9,1015.8,220,4,0,0,,,0,0,0,0,0,0
2003,9,18,24,,7,16.3,12.9,65.4,1016,230,7,0,0,,,0,0,0,0,0,0
2003,9,19,1,,7,16.2,13.2,69.2,1016,220,5,0,0,,,0,0,0,0,0,0
2003,9,19,2,,0,14.4,12.4,77.9,1016,210,4,0,0,,,0,0,0,0,0,0
2003,9,19,3,,0,13.4,12,83.8,1015.8,210,2,0,0,,,0,0,0,0,0,0
2003,9,19,4,,0,12.5,11.6,89.2,1016,0,0,0,0,,,0,0,0,0,0,0
2003,9,19,5,,0,11.5,11,93.7,1016.2,0,0,0,0,,,0,0,0,0,0,0
2003,9,19,6,,1,11.3,11,96.3,1016.5,0,0,0,0,,,0,0,0,0,0,0
2003,9,19,7,,1,12.1,11.7,95.1,1016.5,0,0,2.2,1.9,,,0,0,0,0,0,0
2003,9,19,8,,1,13.1,12.6,94,1016.9,230,1,55.3,39.4,,,0,0,0,0,0,0
2003,9,19,9,,1,15.6,14.3,86,1017,210,4,188.1,92.2,,,0,0,0,0,0,0
2003,9,19,10,,2,17.5,15.3,78,1017.4,220,7,336.7,135.8,,,0,0,0,0,0,0
2003,9,19,11,,7,18.3,15,68.3,1017.5,210,8,211.1,177.2,,,0,0,0,0,0,0
2003,9,19,12,,7,19.2,15.1,62.2,1017.3,230,9,237.8,217.2,,,0,0,0,0,0,0
2003,9,19,13,,7,20.4,16.2,62.6,1017.2,210,8,386.4,325.6,,,0,0,0,0,0,0
2003,9,19,14,,4,20.8,15.9,57.3,1016.9,240,8,669.2,272.5,,,0,0,0,0,0,0
2003,9,19,15,,2,22.8,16.6,49.9,1016.5,210,9,576.9,191.9,,,0,0,0,0,0,0
2003,9,19,16,,2,23.2,16.8,49,1016.3,240,9,478.6,209.7,,,0,0,0,0,0,0
2003,9,19,17,,2,23,16.3,46.6,1016.3,220,9,343.9,205.3,,,0,0,0,0,0,0
2003,9,19,18,,2,21.6,15.9,52.1,1016.3,210,8,180.3,65.6,,,0,0,0,0,0,0
2003,9,19,19,,2,19.8,15.1,57.8,1016.7,220,6,49.4,28.3,,,0,0,0,0,0,0
2003,9,19,20,,2,17.7,14,64.1,1017.5,220,7,0.8,0.8,,,0,0,0,0,0,0
2003,9,19,21,,0,16.2,13.4,71.1,1018,220,5,0,0,,,0,0,0,0,0,0
2003,9,19,22,,0,15,12.8,76.2,1018.3,200,2,0,0,,,0,0,0,0,0,0
2003,9,19,23,,0,14.1,12.4,80.9,1018.5,0,0,0,0,,,0,0,0,0,0,0
2003,9,19,24,,0,12.7,11.7,88.1,1018.7,0,0,0,0,,,0,0,0,0,0,0
2003,9,20,1,,0,11.3,10.7,92.5,1019.1,0,0,0,0,,,0,0,0,0,0,0
2003,9,20,2,,0,10.3,10,96.1,1019.1,0,0,0,0,,,0,0,0,0,0,0
2003,9,20,3,,0,9.8,9.3,93.3,1019.1,0,0,0,0,,,0,0,0,0,0,0
2003,9,20,4,,0,9.2,8.7,93.1,1018.9,0,0,0,0,,,0,0,0,0,0,0
2003,9,20,5,,0,8.9,8.5,94.4,1019.1,0,0,0,0,,,0,0,0,0,0,0
2003,9,20,6,,0,8.6,8.2,94.4,1019.3,0,0,0,0,,,0,0,0,0,0,0
2003,9,20,7,,0,9,8.7,95.9,1019.7,0,0,1.1,0.8,,,0,0,0,0,0,0
2003,9,20,8,,1,9.9,9.4,93.4,1020.1,0,0,55,34.2,,,0,0,0,0,0,0
2003,9,20,9,,1,13.5,12.4,87.2,1020.1,0,0,183.9,76.4,,,0,0,0,0,0,0
2003,9,20,10,,0,17.1,14.6,74.7,1020.4,0,0,330.8,100.3,,,0,0,0,0,0,0
2003,9,20,11,,0,19.7,16,66.1,1020.1,0,0,450.3,123.1,,,0,0,0,0,0,0
2003,9,20,12,,0,21.9,16.9,57.8,1019.7,170,4,536.1,146.4,,,0,0,0,0,0,0
2003,9,20,13,,0,22.9,17.6,56.6,1019.3,220,2,586.7,150.6,,,0,0,0,0,0,0
2003,9,20,14,,1,25.3,18.6,49.6,1018.4,180,3,583.1,148.1,,,0,0,0,0,0,0
2003,9,20,15,,1,25.8,18.7,47.5,1017.9,190,3,535,139.7,,,0,0,0,0,0,0
2003,9,20,16,,2,26.6,19.3,47.3,1017.2,170,3,437.5,127.5,,,0,0,0,0,0,0
2003,9,20,17,,2,26.5,18.9,45.2,1016.9,210,6,307.5,102.5,,,0,0,0,0,0,0
2003,9,20,18,,4,24.8,18,48.3,1016.5,220,4,150,64.2,,,0,0,0,0,0,0
2003,9,20,19,,4,23.7,17.6,51.8,1016.6,200,4,28.3,22.2,,,0,0,0,0,0,0
2003,9,20,20,,6,22.5,17.5,58.5,1017,210,5,0.3,0.3,,,0,0,0,0,0,0
2003,9,20,21,,2,20.5,16.8,66.9,1017.7,220,4,0,0,,,0,0,0,0,0,0
2003,9,20,22,,0,18.5,16.2,77.7,1018,290,4,0,0,,,0,0,0,0,0,0
2003,9,20,23,,0,17.1,15.5,83.6,1018.5,300,3,0,0,,,0,0,0,0,0,0
2003,9,20,24,,0,16.8,14.4,75.5,1019,350,6,0,0,,,0,0,0,0,0,0
2003,9,21,1,,0,16.3,13.7,73.1,1019,0,0,0,0,,,0,0,0,0,0,0
2003,9,21,2,,0,13.8,12.6,86.2,1019,0,0,0,0,,,0,0,0,0,0,0
2003,9,21,3,,0,12.2,11.4,90.2,1018.9,0,0,0,0,,,0,0,0,0,0,0
2003,9,21,4,,0,13.7,12.4,85.1,1018.8,50,2,0,0,,,0,0,0,0,0,0
2003,9,21,5,,0,11.9,11.3,92.5,1018.9,0,0,0,0,,,0,0,0,0,0,0
2003,9,21,6,,0,12.5,11.2,84.5,1019,80,4,0,0,,,0,0,0,0,0,0
2003,9,21,7,,4,11.8,10.7,86.4,1019.1,80,2,0.8,0.8,,,0,0,0,0,0,0
2003,9,21,8,,6,13.5,12,82.8,1019.4,0,0,57.5,39.4,,,0,0,0,0,0,0
2003,9,21,9,,7,16.2,13.2,69.2,1019.5,100,4,198.9,108.6,,,0,0,0,0,0,0
2003,9,21,10,,7,18.7,15.3,67.8,1019.6,140,6,293.3,116.4,,,0,0,0,0,0,0
2003,9,21,11,,7,20.3,16,61.6,1019.2,180,4,430.6,180.3,,,0,0,0,0,0,0
2003,9,21,12,,7,22.4,17.3,57.6,1018.5,180,5,456.9,256.4,,,0,0,0,0,0,0
2003,9,21,13,,7,24,18.2,54.2,1018,210,5,531.4,232.8,,,0,0,0,0,0,0
2003,9,21,14,,7,24.2,18.2,53.1,1017.1,220,5,528.1,254.2,,,0,0,0,0,0,0
2003,9,21,15,,7,26.3,19.4,49.5,1016.3,210,6,448.3,259.7,,,0,0,0,0,0,0
2003,9,21,16,,7,25.9,19.5,52.3,1015.6,220,7,373.3,194.2,,,0,0,0,0,0,0
2003,9,21,17,,7,25.3,19.5,55.7,1015.1,230,8,232.5,154.2,,,0,0,0,0,0,0
2003,9,21,18,,5,23.7,18.9,61.2,1015,240,6,135,76.4,,,0,0,0,0,0,0
2003,9,21,19,,6,22.4,18,63,1014.8,230,7,40.3,30.8,,,0,0,0,0,0,0
2003,9,21,20,,4,21.2,17.9,70.8,1014.8,220,5,0,0,,,0,0,0,0,0,0
2003,9,21,21,,1,19.6,17.7,82,1014.8,210,7,0,0,,,0,0,0,0,0,0
2003,9,21,22,,0,18.2,16.8,86.1,1014.7,210,7,0,0,,,0,0,0,0,0,0
2003,9,21,23,,3,17.4,16.2,87.8,1014,200,2,0,0,,,0,0,0,0,0,0
2003,9,21,24,,0,16.2,15.6,93.6,1013.9,0,0,0,0,,,0,0,0,0,0,0
2003,9,22,1,,7,16.6,15.8,91.6,1013.4,230,6,0,0,,,0,0,0,0,0,0
2003,9,22,2,,8,16.5,15.7,91.5,1012.4,210,6,0,0,,,0,0,0,0,0,0
2003,9,22,3,,8,16.5,15.9,93.7,1011,190,4,0,0,,,0,0,0,0,0,0
2003,9,22,4,,8,16.5,15.9,93.7,1009.5,170,5,0,0,,,0,0,0,0,0,0
2003,9,22,5,,8,16.5,15.7,91.6,1008.8,200,9,0,0,,,0,0,0,0,0,0
2003,9,22,6,,6,16.7,15.9,91.6,1008,190,7,0,0,,,0,0,0,0,0,0
2003,9,22,7,,2,16.6,15.7,90.6,1007.2,190,7,0.6,0.6,,,0,0,0,0,0,0
2003,9,22,8,,3,17.1,15.9,87.6,1006.7,190,9,52.2,30.3,,,0,0,0,0,0,0
2003,9,22,9,,4,18.4,16.1,77.7,1005.9,200,13,181.4,81.4,,,0,0,0,0,0,0
2003,9,22,10,,7,18.8,16.2,75.2,1005.2,200,13,233.3,114.4,,,0,0,0,0,0,0
2003,9,22,11,,7,20.2,16.7,68.5,1004.2,220,12,260.6,201.1,,,0,0,0,0,0,0
2003,9,22,12,,7,20.5,16.7,66.2,1003.6,220,17,243.1,214.2,,,0,0,0,0,0,0
2003,9,22,13,,7,20.5,16.6,65.4,1002.5,220,15,446.4,258.9,,,0,0,0,0,0,0
2003,9,22,14,,7,21.6,17,60.8,1001.5,210,16,304.7,254.4,,,0,0,0,0,0,0
2003,9,22,15,,5,19.2,17.4,82.8,1001.6,220,13,120.3,119.2,,,0,0,0,0,0,0
2003,9,22,16,,7,17.9,17,90.9,1001.3,220,14,85.6,85.6,,,0,0,0,0,0,0
2003,9,22,17,,8,11.3,10.5,90.1,1003.9,340,14,38.9,38.9,,,0,0,0,0,0,0
2003,9,22,18,,8,10.8,9.9,88.6,1005.1,330,12,23.1,23.1,,,0,0,0,0,0,0
2003,9,22,19,,7,10.6,9.6,87.3,1006.1,330,5,8.1,7.8,,,0,0,0,0,0,0
2003,9,22,20,,6,10.7,9.9,89.8,1006.9,290,3,0,0,,,0,0,0,0,0,0
2003,9,22,21,,2,9.9,9.2,90.8,1007.8,310,6,0,0,,,0,0,0,0,0,0
2003,9,22,22,,0,9.5,8.5,86.6,1008.9,290,7,0,0,,,0,0,0,0,0,0
2003,9,22,23,,0,9.3,8.1,83.9,1010.3,290,9,0,0,,,0,0,0,0,0,0
