timestep,Standard Tariff,7-Hour Off Peak Tariff,10-Hour Off Peak Tariff,Variable Time of Day Tariff
579,25.16,14.6,16.04,9.061790928
580,25.16,14.6,16.04,19.82830803
581,25.16,14.6,16.04,19.3408556
582,25.16,14.6,16.04,18.75320474
583,25.16,14.6,16.04,13.50302088
584,25.16,14.6,16.04,9.448205032
585,25.16,14.6,16.04,8.935056162
586,25.16,14.6,16.04,16.41398106
587,25.16,14.6,16.04,21.74820375
588,25.16,14.6,16.04,22.7615981
589,25.16,14.6,16.04,29.97691805
590,25.16,29.8,35.01,28.80338353
591,25.16,29.8,35.01,26.55276006
592,25.16,29.8,35.01,22.17415266
593,25.16,29.8,35.01,17.99099668
594,25.16,29.8,35.01,29.31007695
595,25.16,29.8,35.01,27.7376156
596,25.16,29.8,35.01,22.59322102
597,25.16,29.8,35.01,28.27424505
598,25.16,29.8,35.01,16.80658068
599,25.16,29.8,35.01,23.05184229
600,25.16,29.8,35.01,21.31839668
601,25.16,29.8,35.01,21.0831512
602,25.16,29.8,35.01,21.07341388
603,25.16,29.8,16.04,17.25286819
604,25.16,29.8,16.04,10.83077244
605,25.16,29.8,16.04,8.854241765
606,25.16,29.8,16.04,22.63791854
607,25.16,29.8,16.04,16.55806672
608,25.16,29.8,16.04,22.09860787
609,25.16,29.8,35.01,17.28202889
610,25.16,29.8,35.01,13.34938208
611,25.16,29.8,35.01,19.72020178
612,25.16,29.8,35.01,23.4976551
613,25.16,29.8,35.01,15.5196576
614,25.16,29.8,35.01,14.82499124
615,25.16,29.8,35.01,22.19569495
616,25.16,29.8,35.01,17.83180347
617,25.16,29.8,35.01,19.05715881
618,25.16,29.8,35.01,13.92013045
619,25.16,29.8,35.01,26.73067701
620,25.16,29.8,35.01,13.38686887
621,25.16,29.8,35.01,4.795539618
622,25.16,29.8,35.01,13.92112613
623,25.16,29.8,35.01,18.48965268
624,25.16,14.6,16.04,11.02352879
625,25.16,14.6,16.04,9.869705069
626,25.16,14.6,16.04,14.72372335
627,25.16,14.6,16.04,9.470410767
628,25.16,14.6,16.04,20.72241826
629,25.16,14.6,16.04,20.21298533
630,25.16,14.6,16.04,19.59883576
631,25.16,14.6,16.04,14.11190738
632,25.16,14.6,16.04,9.874249293
633,25.16,14.6,16.04,9.337961199
634,25.16,14.6,16.04,17.15413037
635,25.16,14.6,16.04,22.7288871
636,25.16,14.6,16.04,24.02544628
637,25.16,14.6,16.04,31.64140018
638,25.16,29.8,35.01,30.40270461
639,25.16,29.8,35.01,28.02711425
640,25.16,29.8,35.01,23.40538266
641,25.16,29.8,35.01,18.98995502
642,25.16,29.8,35.01,30.93753242
643,25.16,29.8,35.01,29.27775943
644,25.16,29.8,35.01,23.84771998
645,25.16,29.8,35.01,29.84418547
646,25.16,29.8,35.01,17.73977379
647,25.16,29.8,35.01,24.33180641
648,25.16,29.8,35.01,22.50211043
649,25.16,29.8,35.01,22.25380284
650,25.16,29.8,35.01,22.24352485
651,25.16,29.8,16.04,18.21084161
652,25.16,29.8,16.04,11.43215605
653,25.16,29.8,16.04,9.345877601
654,25.16,29.8,16.04,23.89489935
655,25.16,29.8,16.04,17.47746097
656,25.16,29.8,16.04,23.32564321
657,25.16,29.8,35.01,18.24162147
658,25.16,29.8,35.01,14.09061264
659,25.16,29.8,35.01,20.81517503
660,25.16,29.8,35.01,24.80237318
661,25.16,29.8,35.01,16.38139371
662,25.16,29.8,35.01,15.64815568
663,25.16,29.8,35.01,23.42812109
664,25.16,29.8,35.01,18.82192253
665,25.16,29.8,35.01,20.11531629
666,25.16,29.8,35.01,14.69305208
667,25.16,29.8,35.01,28.21491011
668,25.16,29.8,35.01,13.99051778
669,25.16,29.8,35.01,5.011783034
670,25.16,29.8,35.01,14.54886609
671,25.16,29.8,35.01,19.32339945
672,25.16,14.6,16.04,10.56088013
673,25.16,14.6,16.04,9.455481469
674,25.16,14.6,16.04,14.1057805
675,25.16,14.6,16.04,9.072945229
676,25.16,14.6,16.04,19.852715
677,25.16,14.6,16.04,19.36466256
678,25.16,14.6,16.04,18.77628836
679,25.16,14.6,16.04,13.51964196
680,25.16,14.6,16.04,9.459834976
681,25.16,14.6,16.04,8.946054463
682,25.16,14.6,16.04,16.43418528
